City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
586,Anloga,GH,77.36,overcast clouds,5.7947,0.8973,Pin Drop Hotel
588,Puerto El Triunfo,SV,79.03,overcast clouds,13.2833,-88.55,Hotel Jardin
590,Carutapera,BR,78.67,clear sky,-1.195,-46.02,Lidera
591,Hobyo,SO,76.14,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
592,Segou,ML,79.77,few clouds,13.4317,-6.2157,Comme chez soi
595,Kongolo,CD,72.93,scattered clouds,-5.3833,27.0,GUEST HOUSE OASIS
596,Alvaraes,BR,77.27,clear sky,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
598,Dubti,ET,84.24,scattered clouds,11.7361,41.0853,degu Shiferaw
604,Nhamunda,BR,82.6,few clouds,-2.1861,-56.7131,Pousada Da Praia
605,Urucui,BR,77.79,clear sky,-7.2294,-44.5561,Hotel Premium Piauí
607,Surt,LY,74.46,clear sky,31.2089,16.5887,فندق المدينة
608,Salaya,IN,78.8,broken clouds,22.3167,69.6,Sumbhaniya suni Mualim Jamat
611,Karachi,PK,78.62,mist,24.9056,67.0822,Sadaat
616,Masakin,TN,78.26,few clouds,35.7292,10.5808,DAR EL ANDALOUS Guest house
620,Puerto Asis,CO,75.96,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
621,Itarema,BR,78.21,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
625,Trairi,BR,77.86,clear sky,-3.2778,-39.2689,janelas do mar
626,Jardim,BR,71.01,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
627,Monkey Bay,MW,76.23,clear sky,-14.0728,34.9201,Mufasa Eco Lodge
635,Nara,JP,83.5,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
637,Paracuru,BR,80.11,clear sky,-3.41,-39.0306,Hotel Vento Brasil
638,Come,BJ,75.13,moderate rain,6.4076,1.882,Groupe Ecart Hotel
641,Chopda,IN,73.76,overcast clouds,21.25,75.3,CHACHA BHATIJA AAMLET CENTAR
644,Santa Cruz De La Palma,ES,72.14,mist,28.6835,-17.7642,H10 Taburiente Playa
650,Road Town,VG,82.49,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
652,Jacqueville,CI,75.43,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
653,Sokode,TG,70.83,light rain,8.9833,1.1333,ESSOFA HOTEL
656,Mangochi,MW,72.09,clear sky,-14.4782,35.2645,Fort Johnstone Hotel
657,Rapar,IN,78.35,overcast clouds,23.5667,70.6333,Dharamshi Bapa’s Home
660,Nizamabad,IN,72.27,scattered clouds,18.6667,78.1167,Hostel Luxury A/C
663,Dhoraji,IN,73.33,scattered clouds,21.7333,70.45,Hotel Sahjee Plaza & Guest House
667,Rundu,NA,75.27,broken clouds,-17.9333,19.7667,Millennia Estate
670,Pucallpa,PE,84.24,scattered clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
675,Sao Joao De Meriti,BR,71.89,scattered clouds,-22.8039,-43.3722,Vogue Hotel Rio
676,Sumbe,AO,70.92,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
677,Awbari,LY,80.65,clear sky,26.5921,12.7805,استراحة الشارب العائلي
678,Mtwara,TZ,72.57,scattered clouds,-10.2667,40.1833,TIL Hotels Mtwara
680,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
682,Sompeta,IN,79.92,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
